W8CDE3	GO:0004672; GO:0005524
W8B2X2	GO:0007165
W8B0M6	GO:0006836
W8AKQ4	GO:0016021; GO:0022857
W8BSQ7	GO:0004725
W8AHG9	GO:0003700; GO:0005634; GO:0006351; GO:0008270; GO:0043565
W8AMC5	GO:0006355
W8AXA2	GO:0006486; GO:0016765
H9CJL3	GO:0004129; GO:0005506; GO:0005743; GO:0006119; GO:0009060; GO:0016021; GO:0020037; GO:0070469
W8C6V8	GO:0005525
W8C2Y0	GO:0005337; GO:0016021
W8AW14	GO:0005623; GO:0045454; GO:0051920
W8BET4	GO:0016021; GO:0016192
W8BTA3	GO:0016021
W8BLE4	GO:0000166; GO:0003676; GO:0019013; GO:0030529
W8C5Q4	GO:0003723; GO:0008270
W8C9Z2	GO:0016021
W8B9T9	GO:0008237; GO:0016021; GO:0016805; GO:0031225; GO:0046872
W8C3B2	GO:0016787
W8BTA0	GO:0003677
W8C549	GO:0003924; GO:0004871; GO:0005525; GO:0007186
W8BMX4	GO:0016021
W8CD07	GO:0003824
W8B8F1	GO:0005634; GO:1901031
W8BFA5	GO:0006511; GO:0016579; GO:0036459
W8B593	GO:0003842; GO:0006537; GO:0006561; GO:0016620
W8BT72	GO:0043565
W8AJZ1	GO:0008168
W8BWB1	GO:0000166; GO:0003676; GO:0035278
W8AUN4	GO:0005615
W8B3Y5	GO:0004421; GO:0008299
W8BNZ5	GO:0003700; GO:0005634; GO:0005667; GO:0006351; GO:0007179
W8BPK7	GO:0005506; GO:0016705; GO:0020037
W8BQ44	GO:0080048
W8AKQ8	GO:0005576; GO:0016021
W8B3K0	GO:0000922; GO:0005524; GO:0005737; GO:0005813; GO:0005874; GO:0007067; GO:0008568; GO:0051013; GO:0051301
W8CA14	GO:0004252
W8C964	GO:0005328; GO:0016021
W8C187	GO:0016021
W8BA86	GO:0004190
W8BKY7	GO:0004559; GO:0006013; GO:0008270; GO:0016021; GO:0030246
W8C495	GO:0008168
W8C7M6	GO:0003924; GO:0005525
W8C1L6	GO:0005525; GO:0005622; GO:0007264; GO:0016020
W8BRG2	GO:0004674; GO:0005057; GO:0005524; GO:0005622; GO:0035556; GO:0046872
W8BA40	GO:0003676; GO:0015074
W8BDQ7	GO:0016021
W8C650	GO:0016021
W8AVN9	GO:0016021
W8B8U0	GO:0016740
W8B940	GO:0000166; GO:0005622; GO:0009190; GO:0016021; GO:0016849; GO:0035556
W8C4N6	GO:0003676; GO:0005634; GO:0008270
W8B1N1	GO:0003883; GO:0005524; GO:0006541; GO:0044210
W8BU02	GO:0015377; GO:0016021
W8B8Z7	GO:0001678; GO:0004396; GO:0005524; GO:0005536; GO:0005623; GO:0006096
W8BBQ2	GO:0008180; GO:0010387; GO:0010388
W8B2P5	GO:0003700; GO:0005634; GO:0005667; GO:0005737; GO:0006351
W8AQQ9	GO:0003924; GO:0005525; GO:0005622; GO:0006400
W8BQ20	GO:0006810; GO:0016021
W8BQ81	GO:0007030; GO:0016021
W8C686	GO:0016021
W8BZM1	GO:0016021
W8BPJ5	GO:0005634; GO:0008270
W8BNP3	GO:0004499; GO:0050660; GO:0050661
W8BR90	GO:0004497; GO:0005506; GO:0016705; GO:0020037
W8AVJ2	GO:0005615; GO:0019239
W8BB99	GO:0005044; GO:0006955; GO:0008234; GO:0030247
W8AQG8	GO:0005525; GO:0005622; GO:0007264
W8AK37	GO:0003676; GO:0015074
W8BPU9	GO:0016021
W8AYM2	GO:0005524
W8CCI5	GO:0008270
W8AKZ7	GO:0016021
W8B0Y1	GO:0003677; GO:0003887; GO:0006260
W8BQ37	GO:0008237; GO:0016021; GO:0016805; GO:0031225; GO:0046872
W8AHK8	GO:0016021; GO:0016747
W8BIL3	GO:0016021
W8ARN9	GO:0004674; GO:0005524
W8B635	GO:0001104; GO:0016592
W8BLP9	GO:0000166
