A4II60	GO:0000166; GO:0000287; GO:0005737; GO:0046872; GO:0005829; GO:0046100; GO:0032264; GO:0032263; GO:0006168; GO:0009116; GO:0006166; GO:0006178; GO:0004422; GO:0042803; GO:0005515; GO:0016740; GO:0046038
A4II71	GO:0000122; GO:0042826; GO:0006351; GO:0004407; GO:0006355; GO:0016575; GO:0070822; GO:0005634; GO:0005515; GO:0040008
A4II73	GO:0016787
A4II83	GO:0046839; GO:0007165; GO:0016020; GO:0016021; GO:0007399; GO:0042577; GO:0005887; GO:0006644
A4II96	GO:0000288; GO:0004535; GO:0005737; GO:0003723; GO:0004527; GO:0006417; GO:0000175; GO:0046872; GO:0004518; GO:0031047; GO:0030014; GO:0016787; GO:0008284; GO:0090503; GO:0090305; GO:0060213; GO:0043928; GO:0006351; GO:1900153; GO:0008285; GO:0006355; GO:0004532; GO:0005634; GO:0003676; GO:0003700; GO:0006977; GO:0016020; GO:0005829; GO:0000290; GO:0061014; GO:0035195; GO:0007165; GO:0004871; GO:0000932; GO:0045944; GO:0005515; GO:0010629; GO:0033962; GO:0005654; GO:0005975; GO:0000289
A4II98	GO:0016020; GO:0016021; GO:0007399; GO:0008045
A4IIA2	GO:0005615; GO:0019838; GO:0001558; GO:0007275; GO:0031994; GO:0005520; GO:0005576; GO:0043567; GO:0031995; GO:0040008; GO:0070062; GO:0042104; GO:0090090; GO:0042493; GO:0051384; GO:0031410; GO:0032526; GO:0016324; GO:0043627; GO:0007165; GO:0007584; GO:0007565; GO:0005102; GO:0007568; GO:0005515; GO:0048545; GO:0010226; GO:0032355; GO:0032870; GO:0009612; GO:0044267
A4IIA7	GO:0031167; GO:0016740; GO:0008168; GO:0016433; GO:0032259
A4IIB1	GO:0000055; GO:0042273; GO:0042254; GO:0015031; GO:0030036; GO:0006810; GO:0005730; GO:0005634; GO:0005623; GO:0003674
A4IIC3	GO:0090149; GO:0005739; GO:0016020; GO:0016021; GO:0006810; GO:0005741; GO:1990613
A4IIC5	GO:0055085; GO:0006829; GO:0046873; GO:0016020; GO:0016021; GO:0030001; GO:0005385; GO:0071577; GO:0006810; GO:0006811; GO:0005886
A4IID1	GO:0006491; GO:0016757; GO:0016758; GO:0046872; GO:0016020; GO:0016021; GO:0005794; GO:0016740; GO:0008454; GO:0000139; GO:0006486; GO:0005975; GO:0070062; GO:0008375; GO:0006487
A4IID4	GO:0030867; GO:0000166; GO:0005737; GO:0005739; GO:0048015; GO:0016020; GO:0012505; GO:0016310; GO:0016740; GO:0016301; GO:0046854; GO:0005783; GO:0004430; GO:0005741; GO:0005524; GO:0005622
A4IIE8	GO:0030306; GO:0005768; GO:0051301; GO:0046872; GO:0016020; GO:0005509; GO:0030496; GO:0031410; GO:0016023; GO:0055038; GO:0017137; GO:0030139; GO:0042803; GO:0032154; GO:0007049; GO:0000910; GO:0006810; GO:0005615; GO:0003407; GO:0048471; GO:1903452
A4IIF2	GO:0042391; GO:0051453; GO:0016020; GO:0016021; GO:0019532; GO:0019531; GO:0015701; GO:0015106; GO:0015116; GO:0008272; GO:0008271; GO:0015301; GO:0055085; GO:1902476; GO:0005254; GO:1902358; GO:0006821; GO:0006811; GO:0005887; GO:0070062; GO:0098656; GO:0010628; GO:0016324; GO:0051117; GO:0009986; GO:0006810; GO:0006820; GO:0016787; GO:0008152
A4IIG7	GO:0003677; GO:0003700; GO:0004879; GO:0005737; GO:0046872; GO:0003707; GO:0030522; GO:0008270; GO:0006351; GO:0006355; GO:0043401; GO:0043565; GO:0005634; GO:0001666; GO:0042053; GO:0071376; GO:0042416; GO:0042417; GO:0030182; GO:0000979; GO:0021952; GO:0000977; GO:0021953; GO:0045444; GO:0001228; GO:0001077; GO:0045893; GO:0046982; GO:0010468; GO:0031668; GO:0010467; GO:0009791; GO:0006366; GO:0021986; GO:0008344; GO:0001764; GO:0043085; GO:0035259; GO:0051866; GO:0042551; GO:0043524; GO:0045944; GO:0000122; GO:0001975; GO:0071542; GO:0034599; GO:2001234; GO:0007399; GO:0043576; GO:0005654; GO:0010035; GO:0000978; GO:0017085
A4III8	GO:0042073; GO:0072372; GO:0039023; GO:0042384; GO:0008594; GO:0035845; GO:0015031; GO:0007224; GO:0005929; GO:0030992; GO:0006810; GO:0042995; GO:0005813; GO:0036064; GO:0007286
A4IIJ3	GO:0005737; GO:0006351; GO:0006355; GO:0005634; GO:0032947; GO:0000122; GO:0003713; GO:0005829; GO:0032587; GO:0048471; GO:0016477; GO:0019900; GO:0035331; GO:0035330; GO:0043410; GO:0046621
A4IIJ8	GO:0048752; GO:0019899; GO:0032183; GO:0014037; GO:0006351; GO:0014032; GO:0006355; GO:0021772; GO:0048839; GO:0003677; GO:0048484; GO:0005737; GO:0030318; GO:0001755; GO:0048840; GO:0010628; GO:0016055; GO:0071600; GO:0050768; GO:0014029; GO:0048709; GO:0010001; GO:0007275; GO:0014044; GO:0005634
A4IIK1	GO:0005525; GO:0007264; GO:0005622
A4IIK7	GO:0001764; GO:0005539; GO:0030198; GO:0031012; GO:0010811; GO:0007399; GO:0008201; GO:0010976; GO:0019800; GO:0043524; GO:0005576; GO:0016049; GO:0048702
A4IIL4	GO:0016020; GO:0070062
A4IIM2	GO:0000166; GO:0005737; GO:0003723; GO:0006397; GO:0005634; GO:0003676
A4IIM3	GO:0031932; GO:0005547; GO:0005737; GO:0046580; GO:0070300; GO:0017016; GO:0019901; GO:0080025; GO:0005794; GO:0005654; GO:0043325; GO:0021762; GO:0005546; GO:0005634; GO:0005886
A4IIM9	GO:0000045; GO:0006914; GO:0005737; GO:1990316; GO:0005829; GO:0000407; GO:0019901
A4IIN5	GO:0000288; GO:0003677; GO:0048793; GO:0005737; GO:0003723; GO:0046872; GO:2000737; GO:0048103; GO:0035925; GO:0035019; GO:0007275; GO:1900153; GO:0030097; GO:0043488; GO:0060216; GO:0005634; GO:0006402; GO:0039020; GO:0072080
A4IIS8	GO:0055085; GO:0016020; GO:0015297; GO:0016021; GO:0006810; GO:0006855; GO:0005886; GO:0015238
A4IIT5	GO:0005576
A4IIU3	GO:0016020; GO:0016021
A4IIV4	GO:0030054; GO:0016020; GO:0016021; GO:0045202; GO:0005886
A4IIW0	GO:0001654; GO:0007275; GO:0005634; GO:0006351; GO:0006355; GO:0008284; GO:0043010; GO:0010172; GO:0005515; GO:0007399
A4IIW5	GO:0005737
A4IIW7	GO:0000166; GO:0051301; GO:0000086; GO:0060828; GO:0016020; GO:0016055; GO:0016310; GO:0051726; GO:0016740; GO:0016301; GO:0000308; GO:0004693; GO:0007049; GO:0004672; GO:0004674; GO:0005524; GO:0005886; GO:0006468; GO:0005737; GO:0005829; GO:0030332; GO:0005634
